atis_id;airport_icao;visibility;wind_speed;wind_gust;wind_direction;rvr;runway_designator_number;runway_designator_side;runway_ils_category;headwind;crosswind;ceiling;weather_phenomenon;ILS;RNAV;RNP;VISUAL
26;KATL;8;4;0;280;>6000 ;26;R;No ILS;3.8;1.4;-1;N/A;0;0;0;1
26;KATL;8;4;0;280;>6000 ;27;L;No ILS;3.9;0.7;-1;N/A;0;0;0;1
26;KATL;8;4;0;280;>6000 ;28;;No ILS;4;0;-1;N/A;0;0;0;1
27;KJFK;10;8;0;220;>6000 ;22;L;CAT III;8;0;25000;N/A;1;0;0;0
27;KJFK;10;8;0;220;>6000 ;22;R;CAT III;8;0;25000;N/A;1;0;0;0
28;KIAD;10;5;0;190;>6000 ;19;L;CAT III;5;0;9000;N/A;1;0;0;1
29;KJFK;10;6;0;210;>6000 ;22;L;CAT III;5.9;1;25000;N/A;1;0;0;0
29;KJFK;10;6;0;210;>6000 ;22;R;CAT III;5.9;1;25000;N/A;1;0;0;0
30;KIAD;10;4;0;150;>6000 ;19;L;CAT III;3.1;2.6;25000;N/A;1;0;0;1
30;KIAD;10;4;0;150;>6000 ;19;R;CAT III;3.1;2.6;25000;N/A;1;0;0;1
31;KSFO;0.25;3;0;350;1200 ;28;R;CAT III;1;2.8;200;FG;1;0;0;0
;;;;;;;;;;;;;;;;;
33;KATL;10;9;0;310;>6000 ;26;R;No ILS;5.8;6.9;-1;N/A;0;0;0;1
33;KATL;10;9;0;310;>6000 ;27;L;No ILS;6.9;5.8;-1;N/A;0;0;0;1
33;KATL;10;9;0;310;>6000 ;28;;No ILS;7.8;4.5;-1;N/A;0;0;0;1
34;KORD;10;9;0;320;>6000 ;27;C;CAT III;5.8;6.9;-1;N/A;1;0;0;0
34;KORD;10;9;0;320;>6000 ;27;R;CAT III;5.8;6.9;-1;N/A;1;0;0;0
34;KORD;10;9;0;320;>6000 ;28;C;CAT III;6.9;5.8;-1;N/A;1;0;0;0
35;KSFO;1;4;0;290;3500 ;28;R;CAT III;3.9;0.7;200;FG;1;0;0;0
36;KATL;10;12;0;300;>6000 ;26;L;No ILS;9.2;7.7;-1;N/A;0;0;0;1
36;KATL;10;12;0;300;>6000 ;27;L;No ILS;10.4;6;-1;N/A;0;0;0;1
36;KATL;10;12;0;300;>6000 ;28;;No ILS;11.3;4.1;-1;N/A;0;0;0;1
37;KORD;10;6;0;300;>6000 ;28;C;CAT III;5.6;2.1;-1;N/A;1;0;0;1
37;KORD;10;6;0;300;>6000 ;27;C;CAT III;5.2;3;-1;N/A;1;0;0;1
