number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
124,0.806236060087353,2025-05-20 08:04:02.490825,2025-05-20 08:04:20.297318,0 days 00:00:17.806493,0.9854655438403858,0.6194027427545792,0.22698504032702793,1,9,2,218,0.025132602425777847,0.8069722200882734,7.89602696635712,0.9215051268633068,COMPLETE
125,0.7978814001655543,2025-05-20 08:04:06.330016,2025-05-20 08:04:21.330329,0 days 00:00:15.000313,0.9852116604436337,0.6360966600878343,0.23537347658741234,1,9,2,220,0.9934976205333033,0.6250932745988146,12.834299505113508,0.9713302969018334,COMPLETE
126,0.8060786085810747,2025-05-20 08:04:07.340719,2025-05-20 08:04:20.663319,0 days 00:00:13.322600,0.9847139296237053,0.6020245224098904,0.23366668336588323,9,9,1,216,0.02434268549661188,0.6375439742240359,13.232727711037146,0.9712808626291439,COMPLETE
127,0.811912697321335,2025-05-20 08:04:07.690244,2025-05-20 08:04:30.761366,0 days 00:00:23.071122,0.9865524051464685,0.1062045579415643,0.2341060849538578,1,9,1,215,0.9673364516967352,0.17633674452025339,12.857761891009554,0.9712897866777512,COMPLETE
128,0.8105919166055864,2025-05-20 08:04:07.939246,2025-05-20 08:04:26.246768,0 days 00:00:18.307522,0.9852830572320711,0.2894979054077725,0.21431288746472077,0,9,2,216,0.11923754861702285,0.15334885991435632,13.520466401058284,0.9711606281379802,COMPLETE
129,0.7630340656661672,2025-05-20 08:04:08.322246,2025-05-20 08:04:18.242594,0 days 00:00:09.920348,0.9373350213337859,2.7199155803181,0.21817177648283978,3,7,2,215,0.026891602898239983,0.9750517488201358,12.879036572232467,0.9235805963661947,COMPLETE
130,0.8088960261191819,2025-05-20 08:04:08.559966,2025-05-20 08:04:30.203368,0 days 00:00:21.643402,0.9855409314490703,0.13474368772218281,0.22980454466775305,5,7,1,242,0.11440306354055317,0.9734773835743635,14.650205519277318,0.975495718394247,COMPLETE
131,0.8076336973533742,2025-05-20 08:04:15.657812,2025-05-20 08:04:36.176505,0 days 00:00:20.518693,0.9387475231043149,0.3046226406209789,0.21978619000497795,3,7,1,242,0.2140567772885959,0.9639060413289793,7.740079968634004,0.9234733093085278,COMPLETE
132,0.8084757636548818,2025-05-20 08:04:18.245598,2025-05-20 08:04:40.512844,0 days 00:00:22.267246,0.9856625081786473,0.13734899027888325,0.15061272489380287,5,7,1,243,0.9826105194586661,0.6269674315351161,7.914233971174273,0.9370352965456742,COMPLETE
133,0.8081134479998788,2025-05-20 08:04:20.300319,2025-05-20 08:04:42.368329,0 days 00:00:22.068010,0.9590907067041039,0.14753971104939237,0.162437479628838,9,7,1,243,0.1200074781529655,0.2497100200349529,15.209935291330606,0.9351681008356076,COMPLETE
134,0.7964391040160894,2025-05-20 08:04:20.667321,2025-05-20 08:04:38.347468,0 days 00:00:17.680147,0.9621738105414306,0.28538968899798256,0.1484492937574965,5,6,1,222,0.11002317747969996,0.9179065777942849,10.436998574953847,0.9425340250524502,COMPLETE
135,0.80849806637043,2025-05-20 08:04:21.334486,2025-05-20 08:04:44.529361,0 days 00:00:23.194875,0.9791187089879118,0.12845753496306128,0.14754477416238415,5,7,1,256,0.1122431631729482,0.6672654641098483,10.23751022828005,0.9364025692005112,COMPLETE
136,0.7933326514168995,2025-05-20 08:04:26.249772,2025-05-20 08:04:45.363548,0 days 00:00:19.113776,0.9644051122586184,0.25278835869009525,0.14926835024131874,5,6,2,241,0.11739799723606244,0.31254630632090225,15.232495006160217,0.9401485755237627,COMPLETE
137,0.8062125754780786,2025-05-20 08:04:30.206366,2025-05-20 08:04:51.326637,0 days 00:00:21.120271,0.9604129322629348,0.3017578765470603,0.15426714238474992,6,7,1,243,0.21504872215266813,0.0311673824685732,14.501289814550942,0.9383523866991583,COMPLETE
138,0.7897311254092407,2025-05-20 08:04:30.766366,2025-05-20 08:04:48.830493,0 days 00:00:18.064127,0.9790301767102962,0.3069914188545996,0.14928891149640502,5,6,1,241,0.9302661733376045,0.13281058486110392,14.527543917116159,0.9749423028349019,COMPLETE
139,0.8077631985028102,2025-05-20 08:04:36.180504,2025-05-20 08:04:53.260438,0 days 00:00:17.079934,0.9787419597113468,0.11768867084379503,0.296636010962455,6,6,1,224,0.10913669386512437,0.19467240794374496,14.72395590360869,0.9755782011009939,COMPLETE
140,0.8107647213455751,2025-05-20 08:04:38.350469,2025-05-20 08:04:59.851519,0 days 00:00:21.501050,0.9785955580525553,0.10730323700204249,0.2931843577683635,5,7,1,255,0.9489622124546189,0.1400520866900564,15.713224524216148,0.9756829191596734,COMPLETE
141,0.8094725838180976,2025-05-20 08:04:40.515844,2025-05-20 08:05:02.201564,0 days 00:00:21.685720,0.977752229307181,0.2507702666531228,0.1627203896958234,6,8,1,257,0.7993228160856043,0.12038493761258987,15.425669539469105,0.9759795128939189,COMPLETE
142,0.8095654705463075,2025-05-20 08:04:42.372329,2025-05-20 08:05:06.809390,0 days 00:00:24.437061,0.9660466664247691,0.0027055992832619377,0.16578990798199794,6,8,1,231,0.8749205305478027,0.18415119464142293,14.495850917366855,0.9744263042088266,COMPLETE
143,0.7969805210670037,2025-05-20 08:04:44.532360,2025-05-20 08:04:58.376529,0 days 00:00:13.844169,0.9650179013462071,0.5137567203543516,0.2952333252887323,0,6,1,223,0.13779794297754228,0.16592591388417618,15.572537259102653,0.9757404396981952,COMPLETE
144,0.7927121834076785,2025-05-20 08:04:45.366548,2025-05-20 08:04:57.922595,0 days 00:00:12.556047,0.9785535211974276,0.483640476121821,0.25379839747738536,0,8,5,193,0.9468202232380863,0.1942380874022312,13.874616003682409,0.9723850435335902,COMPLETE
145,0.8045828096521668,2025-05-20 08:04:48.833494,2025-05-20 08:05:03.518585,0 days 00:00:14.685091,0.992248618237264,0.5046360456793391,0.2494531847351267,6,8,1,223,0.7441159024279742,0.17333927598752838,16.079390969700082,0.9670293729438239,COMPLETE
146,0.807400805312154,2025-05-20 08:04:51.329637,2025-05-20 08:05:06.214391,0 days 00:00:14.884754,0.9935010853440029,0.4921720057218993,0.24533346409649145,0,8,1,231,0.14464829005612856,0.18161684968227543,12.29324467941128,0.9642221711726817,COMPLETE
