number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
35,0.8000669423355922,2025-06-15 14:01:43.165968,2025-06-15 14:02:12.737246,0 days 00:00:29.571278,0.9149409132182198,0.08397266054074759,0.027764673735215985,7,8,3,229,0.3567281836049052,0.46429716853687175,1.7227960036178744,0.9974160216785715,COMPLETE
36,0.8060127416108196,2025-06-15 14:01:43.416659,2025-06-15 14:02:15.288697,0 days 00:00:31.872038,0.8970644863445508,0.018409275527990987,0.023412960315669955,6,10,3,216,0.36343384653981287,0.2437564197032843,1.9077711758222424,0.9037410118900455,COMPLETE
37,0.7972898260108728,2025-06-15 14:01:44.541230,2025-06-15 14:02:17.103403,0 days 00:00:32.562173,0.9040954976910043,0.05314237266744182,0.02192076252816415,6,9,3,228,0.21022059250398095,0.2289687936685894,4.2383296025613575,0.9129699935359478,COMPLETE
38,0.7982640273752695,2025-06-15 14:01:45.897111,2025-06-15 14:02:19.006357,0 days 00:00:33.109246,0.96107661822769,0.16353665433253295,0.02208639211776471,6,9,3,230,0.19207917471171015,0.1834989863382697,4.3320146755471995,0.8099265655587623,COMPLETE
39,0.7928234789234639,2025-06-15 14:01:47.004703,2025-06-15 14:02:14.465859,0 days 00:00:27.461156,0.9024303382221687,0.003520852453731127,0.021515062777478177,6,7,3,227,0.20988592221274305,0.25145022501702974,1.6831867965445504,0.9172877793731558,COMPLETE
40,0.7968587096185028,2025-06-15 14:01:49.904406,2025-06-15 14:02:27.047552,0 days 00:00:37.143146,0.8999268246305757,0.01875284611531583,0.021036853320334246,6,10,3,232,0.3732399287114539,0.24288811924936468,1.1308043657268314,0.8072460328163577,COMPLETE
41,0.7850417567825074,2025-06-15 14:01:52.308814,2025-06-15 14:02:19.367897,0 days 00:00:27.059083,0.9526040309843355,0.028487044466137146,0.02042788870469469,6,7,3,227,0.36503381575491456,0.24836262318919167,1.19247267799359,0.8047151299472461,COMPLETE
42,0.8014083190580749,2025-06-15 14:02:12.739760,2025-06-15 14:02:44.919507,0 days 00:00:32.179747,0.9533955104832627,0.411941385675591,0.02095596021363993,6,10,3,227,0.38300929919787974,0.22970070173228632,3.154763653546025,0.9966764778624316,COMPLETE
43,0.774131299705051,2025-06-15 14:02:14.468874,2025-06-15 14:02:39.819466,0 days 00:00:25.350592,0.8980078583178056,0.470467836360855,0.010337136574503754,6,7,3,226,0.3664983306122507,0.6357844620470039,1.258672117654914,0.9976485647073496,COMPLETE
44,0.7859358848610617,2025-06-15 14:02:15.292697,2025-06-15 14:02:44.530574,0 days 00:00:29.237877,0.961901613373414,0.44147611362039196,0.011475654569145547,5,10,3,204,0.3829298140376301,0.06688925837966864,1.211700921722347,0.9893996456447669,COMPLETE
