number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
10,0.9157273363511628,2025-06-15 11:05:45.907305,2025-06-15 11:06:05.104469,0 days 00:00:19.197164,0.7787332621005247,0.0714244323966512,0.27904154520741575,2,6,5,209,0.2408407062463097,0.5566935334121978,13.608297372422806,0.8621445954030015,COMPLETE
11,0.8781048484530602,2025-06-15 11:05:49.948888,2025-06-15 11:06:17.791996,0 days 00:00:27.843108,0.7439383035588146,0.04347093765765475,0.013629301490057892,5,10,5,218,0.03310224929999639,0.026720710089166877,37.502652587277815,0.7527877472698017,COMPLETE
12,0.8594011046187436,2025-06-15 11:05:50.660417,2025-06-15 11:06:04.025425,0 days 00:00:13.365008,0.845684131700067,1.2325220383317315,0.024544895051624032,3,7,5,123,0.8611143026938102,0.9595761595928408,37.829563721763506,0.7703102115213161,COMPLETE
13,0.8931427348403226,2025-06-15 11:05:51.232149,2025-06-15 11:06:03.608352,0 days 00:00:12.376203,0.7571198820803026,4.410088243419347,0.016750660963810473,3,3,2,170,0.4341416181362926,0.5925162030517059,1.5063189837083346,0.7461016227096707,COMPLETE
14,0.8623456287593865,2025-06-15 11:05:53.582775,2025-06-15 11:06:04.576880,0 days 00:00:10.994105,0.9093093439688514,0.41779578319631194,0.03232236591847124,5,6,1,103,0.48006718491174927,0.8695539967698174,34.60370660859539,0.7429355481011595,COMPLETE
15,0.8909689568836046,2025-06-15 11:05:55.868311,2025-06-15 11:06:11.558676,0 days 00:00:15.690365,0.8385584643225057,4.4917237444924165,0.18155910592214564,10,7,5,279,0.1970496246594411,0.422016881367804,20.962587622288837,0.8525923659343375,COMPLETE
16,0.8675667940762644,2025-06-15 11:06:03.613870,2025-06-15 11:06:21.773636,0 days 00:00:18.159766,0.8788217868892325,1.8431514702690943,0.018169264070893136,3,6,3,203,0.3950394166546711,0.04219181916584391,23.54910661881114,0.8398420246205782,COMPLETE
17,0.9164851353834769,2025-06-15 11:06:04.031465,2025-06-15 11:06:37.886676,0 days 00:00:33.855211,0.7983337835371087,0.005192684036959161,0.09051545391523429,10,10,3,296,0.43484242920476823,0.9782654323392063,31.314154776729872,0.8652893570137551,COMPLETE
18,0.9053034372636872,2025-06-15 11:06:04.583387,2025-06-15 11:06:24.269843,0 days 00:00:19.686456,0.8040813433640722,1.8983450655209126,0.11611246823191837,6,10,3,298,0.349474449481341,0.7814227853455356,24.652675079396584,0.8536707810689396,COMPLETE
19,0.9167561239360517,2025-06-15 11:06:05.108992,2025-06-15 11:06:38.860493,0 days 00:00:33.751501,0.7920706601850506,0.06471407303679522,0.10927662691329602,0,10,3,300,0.348335945018152,0.7351889093216597,28.450183034576746,0.8633477177847327,COMPLETE
20,0.9185573829071692,2025-06-15 11:06:06.265953,2025-06-15 11:06:37.246114,0 days 00:00:30.980161,0.8008641347043682,0.023227172199617785,0.09908233897963137,0,10,3,289,0.9829527097710817,0.7521157231776368,9.570746776748107,0.8542908329209861,COMPLETE
21,0.9098617463054224,2025-06-15 11:06:07.843305,2025-06-15 11:06:28.873046,0 days 00:00:21.029741,0.8077399588039786,1.2263058249018082,0.10206939997353287,1,5,3,296,0.9922407908647207,0.7555675785110797,10.158615775586648,0.8389376578339259,COMPLETE
22,0.9109377945530983,2025-06-15 11:06:11.562197,2025-06-15 11:06:33.274510,0 days 00:00:21.712313,0.8039601617839753,1.07842970190875,0.07680526405429468,2,5,3,299,0.3528467574790483,0.7516835308097598,8.92774997047693,0.8414259160357029,COMPLETE
23,0.912167971171816,2025-06-15 11:06:17.795996,2025-06-15 11:06:38.581530,0 days 00:00:20.785534,0.8097866629851653,1.031318663917764,0.10824048469798137,2,5,3,290,0.35561497427737004,0.7291200732433469,9.5676348196193,0.8497632975995575,COMPLETE
24,0.9129935083835374,2025-06-15 11:06:21.780149,2025-06-15 11:06:43.678605,0 days 00:00:21.898456,0.8135023866588151,0.9161694892497403,0.11035200208526122,1,5,3,293,0.986057455775283,0.7205978109528461,7.6933708495991695,0.8527145339088809,COMPLETE
25,0.9093787390385278,2025-06-15 11:06:24.273446,2025-06-15 11:06:46.159414,0 days 00:00:21.885968,0.700778551810656,0.9851532787149259,0.09176759578299168,1,5,4,300,0.612588287164941,0.7611973317069085,8.61719646780135,0.8910626505797412,COMPLETE
26,0.9148970890135356,2025-06-15 11:06:28.877053,2025-06-15 11:06:43.459604,0 days 00:00:14.582551,0.7003876515962014,0.7319672553330963,0.2959400181654483,2,9,4,232,0.6406624169031294,0.6929301265889241,8.207027512734566,0.8948212715206556,COMPLETE
27,0.9127083801237672,2025-06-15 11:06:33.279023,2025-06-15 11:06:53.491745,0 days 00:00:20.212722,0.7069703141730332,0.6106309211078967,0.28381327844581844,7,9,4,235,0.5724004610773884,0.6480067215429693,29.637492261649395,0.8906521992012681,COMPLETE
28,0.9144202757622928,2025-06-15 11:06:37.250128,2025-06-15 11:06:57.319545,0 days 00:00:20.069417,0.7162694971768728,0.6137669988063772,0.2994072237423675,0,9,4,273,0.567544074182197,0.6312302999625807,7.92297713519762,0.8868175941383435,COMPLETE
29,0.9161644735309462,2025-06-15 11:06:37.892682,2025-06-15 11:07:07.001485,0 days 00:00:29.108803,0.7072243507096689,0.611497787471641,0.059069156577656774,10,9,4,272,0.5893506749349949,0.9840728838468484,7.176533614514529,0.8933981501223336,COMPLETE
30,0.9086390964883273,2025-06-15 11:06:38.585530,2025-06-15 11:07:09.005607,0 days 00:00:30.420077,0.7131398854877486,0.6417940179409177,0.06115772533734999,10,9,4,270,0.5931055310182703,0.955828879338414,30.687998916661922,0.8957863822137873,COMPLETE
31,0.9060593415387868,2025-06-15 11:06:38.865492,2025-06-15 11:07:09.439647,0 days 00:00:30.574155,0.7031086244815393,0.6425603441818346,0.05476808659164461,0,9,4,271,0.5989992797105914,0.6618867331586379,30.33576620940765,0.8959091742004411,COMPLETE
32,0.9098014872304059,2025-06-15 11:06:43.462605,2025-06-15 11:07:12.980944,0 days 00:00:29.518339,0.7261514899212661,0.580821173826828,0.06680752083406111,0,9,2,270,0.9455539098673857,0.8619970428354865,29.339382507900567,0.8046289338923851,COMPLETE
33,0.9116920020942793,2025-06-15 11:06:43.684127,2025-06-15 11:07:15.815652,0 days 00:00:32.131525,0.732895088005855,0.5371023110683748,0.06132043269196697,0,9,2,271,0.9146525629038477,0.8620282863100126,30.25555869871813,0.796500538068393,COMPLETE
34,0.9109618506387607,2025-06-15 11:06:46.161416,2025-06-15 11:07:16.533489,0 days 00:00:30.372073,0.7278600705479136,0.5595510516343605,0.05659552308484107,0,9,2,271,0.5445085645565962,0.8643673975815361,28.28618377475635,0.8100107994475176,COMPLETE
